winner,loser,date-time,game,isdraw
Alice,Bob,Mon Apr 01 10:00:00 2026,connect4,no
Charlie,David,Mon Apr 01 10:05:00 2026,othello,no
Eve,Frank,Mon Apr 01 10:10:00 2026,tictactoe,no
Grace,Heidi,Mon Apr 01 10:15:00 2026,connect4,no
Ivan,Judy,Mon Apr 01 10:20:00 2026,othello,no
Alice,Charlie,Mon Apr 01 10:25:00 2026,tictactoe,no
Bob,David,Mon Apr 01 10:30:00 2026,connect4,no
Eve,Grace,Mon Apr 01 10:35:00 2026,othello,no
Frank,Heidi,Mon Apr 01 10:40:00 2026,tictactoe,no
Ivan,Alice,Mon Apr 01 10:45:00 2026,connect4,no
Judy,Bob,Mon Apr 01 10:50:00 2026,othello,no
Charlie,Eve,Mon Apr 01 10:55:00 2026,tictactoe,no
David,Frank,Mon Apr 01 11:00:00 2026,connect4,no
Grace,Ivan,Mon Apr 01 11:05:00 2026,othello,no
Heidi,Judy,Mon Apr 01 11:10:00 2026,tictactoe,no
Alice,Frank,Mon Apr 01 11:15:00 2026,connect4,no
Bob,Grace,Mon Apr 01 11:20:00 2026,othello,no
Charlie,Heidi,Mon Apr 01 11:25:00 2026,tictactoe,no
David,Ivan,Mon Apr 01 11:30:00 2026,connect4,no
Eve,Judy,Mon Apr 01 11:35:00 2026,othello,no
Frank,Alice,Mon Apr 01 11:40:00 2026,tictactoe,no
Grace,Bob,Mon Apr 01 11:45:00 2026,connect4,no
Heidi,Charlie,Mon Apr 01 11:50:00 2026,othello,no
Ivan,David,Mon Apr 01 11:55:00 2026,tictactoe,no
Judy,Eve,Mon Apr 01 12:00:00 2026,connect4,no
Alice,Bob,Mon Apr 01 12:05:00 2026,othello,yes
Charlie,David,Mon Apr 01 12:10:00 2026,tictactoe,yes
Eve,Frank,Mon Apr 01 12:15:00 2026,connect4,no
Grace,Heidi,Mon Apr 01 12:20:00 2026,othello,no
Ivan,Judy,Mon Apr 01 12:25:00 2026,tictactoe,no
Alice,Charlie,Mon Apr 01 12:30:00 2026,connect4,no
Bob,David,Mon Apr 01 12:35:00 2026,othello,no
Eve,Grace,Mon Apr 01 12:40:00 2026,tictactoe,no
Frank,Heidi,Mon Apr 01 12:45:00 2026,connect4,no
Ivan,Alice,Mon Apr 01 12:50:00 2026,othello,no
Judy,Bob,Mon Apr 01 12:55:00 2026,tictactoe,no
Charlie,Eve,Mon Apr 01 13:00:00 2026,connect4,no
David,Frank,Mon Apr 01 13:05:00 2026,othello,no
Grace,Ivan,Mon Apr 01 13:10:00 2026,tictactoe,no
Heidi,Judy,Mon Apr 01 13:15:00 2026,connect4,no
Alice,Frank,Mon Apr 01 13:20:00 2026,othello,no
Bob,Grace,Mon Apr 01 13:25:00 2026,tictactoe,no
Charlie,Heidi,Mon Apr 01 13:30:00 2026,connect4,no
David,Ivan,Mon Apr 01 13:35:00 2026,othello,no
Eve,Judy,Mon Apr 01 13:40:00 2026,tictactoe,no
Frank,Alice,Mon Apr 01 13:45:00 2026,connect4,no
Grace,Bob,Mon Apr 01 13:50:00 2026,othello,no
Heidi,Charlie,Mon Apr 01 13:55:00 2026,tictactoe,no
Ivan,David,Mon Apr 01 14:00:00 2026,connect4,no
Judy,Eve,Mon Apr 01 14:05:00 2026,othello,no
